TCP;;Download (Rx) bandwidth (bps);TCP Download bandwidth;SD;TCP D packet loss (percent);SD;Upload (Tx) bandwidth (bps);TCP Upload bandwidth;SD;TCP U packet loss (percent);SD;TCP RTT (ping) (ms);SD;Rx packet loss burst length (packets);Tx packet loss burst length (packets);TCP D instant jitter (ms);SD;TCP U instant jitter (ms);SD;Rx RFC3550 jitter (ms);Tx RFC3550 jitter (ms);;;;;;;;;;;;;;;;;;;;;;;
Base;Average:;85891410,93;81,91;9,93;0,15;0,27;97851636,10;93,32;5,89;0,88;0,48;47,15;20,40;0,50;1,09;28,71;10,87;33,95;18,52;9,390732128;6,909881065;;;;;;;;;;;;;;;;;;;;;;;
1 Attk;0,00;70236603,57;66,98;2,89;0,04;0,07;101683836,97;96,97;1,86;1,56;0,56;80,55;18,76;0,50;1,40;28,08;7,68;26,48;13,33;6,901513713;6,145633607;;;;;;;;;;;;;;;;;;;;;;;
2 Attk;0,00;68288911,30;65,13;4,63;0,00;0,00;101077233,23;96,39;2,58;1,52;0,54;85,68;19,58;0,37;1,30;26,60;9,11;28,71;22,25;6,592433488;6,191690337;;;;;;;;;;;;;;;;;;;;;;;
3 Attk;0,00;71089071,97;67,80;6,55;0,07;0,13;101031012,50;96,35;3,56;1,48;0,61;73,72;19,35;0,52;1,45;29,13;11,35;24,83;9,95;7,006858232;5,989617352;;;;;;;;;;;;;;;;;;;;;;;
4 Attk;0,00;73840154,00;70,42;7,27;0,00;0,00;100443707,50;95,79;6,82;2,39;0,90;68,35;15,89;0,00;1,53;27,39;8,40;28,72;16,85;6,764538905;6,282497645;;;;;;;;;;;;;;;;;;;;;;;
5 Attk;0,00;82541872,23;78,72;7,86;0,07;0,11;103425078,23;98,63;1,38;1,59;1,08;57,43;13,28;0,58;1,07;21,12;10,24;21,04;7,87;6,269890038;5,179174438;;;;;;;;;;;;;;;;;;;;;;;
6 Attk;0,00;77692842,33;74,09;5,15;0,00;0,00;102992479,97;98,22;1,64;1,81;0,86;57,73;13,54;0,48;1,31;24,07;8,14;24,00;11,84;6,579405178;5,421032115;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UDP;;Download (Rx) bandwidth (bps);UDP Download bandwidth;SD;UDP D packet loss (percent);SD;Upload (Tx) bandwidth (bps);UDP Upload bandwidth;SD;UDP U packet loss (percent);SD;UDP RTT (ping) (ms);SD;Rx packet loss burst length (packets);Tx packet loss burst length (packets);UDP D instant jitter (ms);SD;UDP U instant jitter (ms);SD;Rx RFC3550 jitter (ms);Tx RFC3550 jitter (ms);;;;;;;;;;;;;;;;;;;;;;;
Base;Average:;85891410,93;81,91;9,93;0,15;0,27;97851636,10;93,32;5,89;0,88;0,48;47,15;20,40;0,50;1,09;28,71;10,87;33,95;18,52;9,390732128;6,909881065;;;;;;;;;;;;;;;;;;;;;;;
1 Attk;0,00;49738221,27;47,43;9,61;0,00;0,00;81466762,07;77,69;8,31;1,06;0,53;129,45;50,12;0,00;1,64;33,35;9,52;49,94;23,73;8,026553238;9,212114853;;;;;;;;;;;;;;;;;;;;;;;
2 Attk;0,00;55877211,97;53,29;9,60;0,03;0,06;76920341,27;73,36;7,12;0,74;0,54;99,38;39,26;0,58;1,38;30,57;16,60;55,28;35,27;8,105327308;10,05535216;;;;;;;;;;;;;;;;;;;;;;;
3 Attk;0,00;31436986,87;29,98;6,78;0,87;0,72;45720798,80;43,60;5,39;0,05;0,06;182,42;74,25;2,09;0,97;46,21;20,16;112,43;95,65;9,749813403;15,64233248;;;;;;;;;;;;;;;;;;;;;;;
4 Attk;0,00;28669538,70;27,34;10,02;1,79;2,08;36919340,18;35,21;6,21;0,07;0,07;199,85;95,08;1,49;0,73;48,95;17,28;115,41;74,47;10,4464917;16,41576789;;;;;;;;;;;;;;;;;;;;;;;
5 Attk;0,00;21636692,93;20,63;6,46;3,47;2,50;35450515,27;33,81;6,25;0,18;0,17;216,97;112,64;2,42;1,77;55,16;22,88;136,10;103,53;11,31320589;18,34824208;;;;;;;;;;;;;;;;;;;;;;;
6 Attk;0,00;17367652,10;16,56;5,94;3,68;1,89;26962831,98;25,71;6,82;0,33;0,40;208,16;101,49;1,64;1,64;56,44;26,17;168,64;134,77;11,48871424;21,79404407;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTTP;;Download (Rx) bandwidth (bps);HTTP Download bandwidth;SD;HTTP D packet loss (percent);SD;Upload (Tx) bandwidth (bps);HTTP Upload bandwidth;SD;HTTP U packet loss (percent);SD;HTTP RTT (ping) (ms);SD;Rx packet loss burst length (packets);Tx packet loss burst length (packets);HTTP D instant jitter (ms);SD;HTTP U instant jitter (ms);SD;Rx RFC3550 jitter (ms);Tx RFC3550 jitter (ms);;;;;;;;;;;;;;;;;;;;;;;
Base;Average:;85891410,93;81,91;9,93;0,15;0,27;97851636,10;93,32;5,89;0,88;0,48;47,15;20,40;0,50;1,09;28,71;10,87;33,95;18,52;9,390732128;6,909881065;;;;;;;;;;;;;;;;;;;;;;;
1 Attk;0,00;73840154,00;70,42;7,27;0,00;0,00;100443707,50;95,79;6,82;2,39;0,90;68,35;15,89;0,00;1,53;27,39;8,40;28,72;16,85;6,764538905;6,282497645;;;;;;;;;;;;;;;;;;;;;;;
2 Attk;0,00;80262046,57;76,54;4,80;0,00;0,00;103641897,80;98,84;1,10;1,26;0,49;77,47;15,33;0,57;1,45;23,19;7,95;19,26;8,40;5,742722822;4,872087072;;;;;;;;;;;;;;;;;;;;;;;
3 Attk;0,00;76915784,50;73,35;2,60;0,01;0,03;102535620,60;97,79;3,26;1,21;0,58;79,85;14,13;0,90;1,27;26,07;9,18;23,77;13,71;6,026118087;5,5979424;;;;;;;;;;;;;;;;;;;;;;;s
4 Attk;0,00;80873018,00;77,13;3,99;0,00;0,00;103158011,27;98,38;1,15;1,37;0,59;58,10;8,27;0,00;1,21;22,48;8,28;20,48;7,32;5,719626422;5,22943332;;;;;;;;;;;;;;;;;;;;;;;
5 Attk;0,00;61854374,53;58,99;11,85;0,77;1,64;97323641,90;92,82;11,66;0,64;0,39;95,80;27,09;1,09;1,19;32,42;30,34;28,36;14,67;7,291049052;6,153872183;;;;;;;;;;;;;;;;;;;;;;;
6 Attk;0,00;69830079,83;66,59;5,15;0,00;0,00;100987985,97;96,31;3,78;1,42;0,56;84,31;18,10;0,00;1,57;25,37;10,40;22,49;10,60;5,573196785;5,303826843;;;;;;;;;;;;;;;;;;;;;;;
